title,company,location,text,publish_date,link
Security Software Engineer,Canonical,"León, Guanajuato, Mexico",,2024-04-04,https://mx.linkedin.com/jobs/view/security-software-engineer-at-canonical-3883436677?position=42&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=Lmf9TtRMZemzvVFsLQX9eg%3D%3D&trk=public_jobs_jserp-result_search-card
Security Software Engineer,Canonical,"León, Guanajuato, Mexico",,2024-02-15,https://mx.linkedin.com/jobs/view/security-software-engineer-at-canonical-3830642557?position=43&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=60WrwrEJXYZF8NL63K8Wlw%3D%3D&trk=public_jobs_jserp-result_search-card
HPC Software Engineer,Canonical,"León, Guanajuato, Mexico",,2024-03-18,https://mx.linkedin.com/jobs/view/hpc-software-engineer-at-canonical-3860987518?position=44&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=vwUJ08lWsR4s9WCm6N%2FhUQ%3D%3D&trk=public_jobs_jserp-result_search-card
Jira Engineer,Advantasure,"Silao, Guanajuato, Mexico",,2024-04-11,https://mx.linkedin.com/jobs/view/jira-engineer-at-advantasure-3894390829?position=45&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=pk33%2Bpx2J5vpMpQ7Ax%2FoqQ%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Software Engineer - Python/MongoDB,Canonical,"León, Guanajuato, Mexico",,2024-04-30,https://mx.linkedin.com/jobs/view/senior-software-engineer-python-mongodb-at-canonical-3912558540?position=46&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=P5yhVfKO%2Bf6Fg8KrsKi4Ww%3D%3D&trk=public_jobs_jserp-result_search-card
Software Developer Sr. Legacy/Azure,UST,"Silao, Guanajuato, Mexico",Actively Hiring,2024-05-16,https://mx.linkedin.com/jobs/view/software-developer-sr-legacy-azure-at-ust-3927507604?position=47&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=XJ6%2F0GF67c%2F8VqSADx2akQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software-Defined Networking Engineer,Canonical,"León, Guanajuato, Mexico",,2024-02-13,https://mx.linkedin.com/jobs/view/software-defined-networking-engineer-at-canonical-3829445697?position=48&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=hSoupOiVQo%2F0EZQpfpkE8g%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - OpenStack,Canonical,"León, Guanajuato, Mexico",,2024-02-14,https://mx.linkedin.com/jobs/view/software-engineer-openstack-at-canonical-3830164641?position=49&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=YyAAh8%2B9Cx%2BJDwojzwwG%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card
Embedded & Desktop Linux Systems Engineer - Optimisation,Canonical,"León, Guanajuato, Mexico",,2024-02-20,https://mx.linkedin.com/jobs/view/embedded-desktop-linux-systems-engineer-optimisation-at-canonical-3834326070?position=50&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=4JNiWuV21h%2FRoINHhhHdhg%3D%3D&trk=public_jobs_jserp-result_search-card
Embedded & Desktop Linux Systems Engineer - Optimisation,Canonical,"León, Guanajuato, Mexico",,2024-02-20,https://mx.linkedin.com/jobs/view/embedded-desktop-linux-systems-engineer-optimisation-at-canonical-3834320937?position=51&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=BQq%2BvNZSA8dn2wJQ0d5eIg%3D%3D&trk=public_jobs_jserp-result_search-card
Golang Engineer,Canonical,"León, Guanajuato, Mexico",,2024-03-11,https://mx.linkedin.com/jobs/view/golang-engineer-at-canonical-3852150102?position=52&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=UMLzIUCgBUT%2FupAxaVrflA%3D%3D&trk=public_jobs_jserp-result_search-card
Cloud Field Engineer - Americas (Remote),Canonical,"León, Guanajuato, Mexico",,2024-04-29,https://mx.linkedin.com/jobs/view/cloud-field-engineer-americas-remote-at-canonical-3912111528?position=53&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=QTUcyOeHhBA72%2FjnR9OYfg%3D%3D&trk=public_jobs_jserp-result_search-card
Python Software Engineer - Ubuntu Server Certification,Canonical,"León, Guanajuato, Mexico",,2024-02-13,https://mx.linkedin.com/jobs/view/python-software-engineer-ubuntu-server-certification-at-canonical-3828433088?position=54&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=dgb4FointLv8pPxe1jGWSA%3D%3D&trk=public_jobs_jserp-result_search-card
System Software Engineer - Ubuntu Networking,Canonical,"León, Guanajuato, Mexico",,2024-02-07,https://mx.linkedin.com/jobs/view/system-software-engineer-ubuntu-networking-at-canonical-3823555941?position=55&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=432TU55wKWqmCM0HmtkNEg%3D%3D&trk=public_jobs_jserp-result_search-card
Lead Development Lifecycle Engineer,Canonical,"León, Guanajuato, Mexico",,2023-11-07,https://mx.linkedin.com/jobs/view/lead-development-lifecycle-engineer-at-canonical-3758456693?position=56&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=9jIh0dCvvG9o9Ke44KAIxw%3D%3D&trk=public_jobs_jserp-result_search-card
"DevOps Engineer - Remote, Latin America",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2023-03-29,https://mx.linkedin.com/jobs/view/devops-engineer-remote-latin-america-at-bluelight-consulting-devops-software-development-3575089831?position=57&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=YsQfnxUGmM9wjOCpY9gGeQ%3D%3D&trk=public_jobs_jserp-result_search-card
Programador CNC,,"León, Mexico Metropolitan Area",,2024-04-26,
AI/ML and MLOps Field Engineer,Canonical,"León, Guanajuato, Mexico",,2024-04-03,https://mx.linkedin.com/jobs/view/ai-ml-and-mlops-field-engineer-at-canonical-3881290128?position=59&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=xGqOQhcPirf1hzoQR41FVg%3D%3D&trk=public_jobs_jserp-result_search-card
"Ruby Developer - Full-time, Remote",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2023-09-15,https://mx.linkedin.com/jobs/view/ruby-developer-full-time-remote-at-bluelight-consulting-devops-software-development-3714372962?position=60&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=OuNC9jUNZrTH922%2BmGv%2BMA%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Engineer,Canonical,"León, Guanajuato, Mexico",,2024-04-18,https://mx.linkedin.com/jobs/view/senior-engineer-at-canonical-3903454933?position=1&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=Tzko2iBprtbmXxfGvnCQNw%3D%3D&trk=public_jobs_jserp-result_search-card
